id	name	guidence	sport_id	created_at	updated_at
1	1	guidence1	1	0000-00-00 00:00:00	0000-00-00 00:00:00
2	2	guidence2	1	0000-00-00 00:00:00	0000-00-00 00:00:00
3	3	guidence3	1	0000-00-00 00:00:00	0000-00-00 00:00:00
4	4	guidence4	1	0000-00-00 00:00:00	0000-00-00 00:00:00
5	5	guidence5	1	0000-00-00 00:00:00	0000-00-00 00:00:00
6	6	guidence6	1	0000-00-00 00:00:00	0000-00-00 00:00:00
7	7	guidence7	1	0000-00-00 00:00:00	0000-00-00 00:00:00
8	8	guidence8	1	0000-00-00 00:00:00	0000-00-00 00:00:00
9	9	guidence9	1	0000-00-00 00:00:00	0000-00-00 00:00:00
10	10	guidence10	1	0000-00-00 00:00:00	0000-00-00 00:00:00
11	1	guidence1	2	0000-00-00 00:00:00	0000-00-00 00:00:00
12	2	guidence2	2	0000-00-00 00:00:00	0000-00-00 00:00:00
13	3	guidence3	2	0000-00-00 00:00:00	0000-00-00 00:00:00
14	4	guidence4	2	0000-00-00 00:00:00	0000-00-00 00:00:00
15	5	guidence5	2	0000-00-00 00:00:00	0000-00-00 00:00:00
16	6	guidence6	2	0000-00-00 00:00:00	0000-00-00 00:00:00
17	7	guidence7	2	0000-00-00 00:00:00	0000-00-00 00:00:00
18	8	guidence8	2	0000-00-00 00:00:00	0000-00-00 00:00:00
19	9	guidence9	2	0000-00-00 00:00:00	0000-00-00 00:00:00
20	10	guidence10	2	0000-00-00 00:00:00	0000-00-00 00:00:00
21	1	guidence1	3	0000-00-00 00:00:00	0000-00-00 00:00:00
22	2	guidence2	3	0000-00-00 00:00:00	0000-00-00 00:00:00
23	3	guidence3	3	0000-00-00 00:00:00	0000-00-00 00:00:00
24	4	guidence4	3	0000-00-00 00:00:00	0000-00-00 00:00:00
25	5	guidence5	3	0000-00-00 00:00:00	0000-00-00 00:00:00
26	6	guidence6	3	0000-00-00 00:00:00	0000-00-00 00:00:00
27	7	guidence7	3	0000-00-00 00:00:00	0000-00-00 00:00:00
28	8	guidence8	3	0000-00-00 00:00:00	0000-00-00 00:00:00
29	9	guidence9	3	0000-00-00 00:00:00	0000-00-00 00:00:00
30	10	guidence10	3	0000-00-00 00:00:00	0000-00-00 00:00:00
31	1	guidence1	4	0000-00-00 00:00:00	0000-00-00 00:00:00
32	2	guidence2	4	0000-00-00 00:00:00	0000-00-00 00:00:00
33	3	guidence3	4	0000-00-00 00:00:00	0000-00-00 00:00:00
34	4	guidence4	4	0000-00-00 00:00:00	0000-00-00 00:00:00
35	5	guidence5	4	0000-00-00 00:00:00	0000-00-00 00:00:00
36	6	guidence6	4	0000-00-00 00:00:00	0000-00-00 00:00:00
37	7	guidence7	4	0000-00-00 00:00:00	0000-00-00 00:00:00
38	8	guidence8	4	0000-00-00 00:00:00	0000-00-00 00:00:00
39	9	guidence9	4	0000-00-00 00:00:00	0000-00-00 00:00:00
40	10	guidence10	4	0000-00-00 00:00:00	0000-00-00 00:00:00
41	1	guidence1	5	0000-00-00 00:00:00	0000-00-00 00:00:00
42	2	guidence2	5	0000-00-00 00:00:00	0000-00-00 00:00:00
43	3	guidence3	5	0000-00-00 00:00:00	0000-00-00 00:00:00
44	4	guidence4	5	0000-00-00 00:00:00	0000-00-00 00:00:00
45	5	guidence5	5	0000-00-00 00:00:00	0000-00-00 00:00:00
46	6	guidence6	5	0000-00-00 00:00:00	0000-00-00 00:00:00
47	7	guidence7	5	0000-00-00 00:00:00	0000-00-00 00:00:00
48	8	guidence8	5	0000-00-00 00:00:00	0000-00-00 00:00:00
49	9	guidence9	5	0000-00-00 00:00:00	0000-00-00 00:00:00
50	10	guidence10	5	0000-00-00 00:00:00	0000-00-00 00:00:00
51	1	guidence1	6	0000-00-00 00:00:00	0000-00-00 00:00:00
52	2	guidence2	6	0000-00-00 00:00:00	0000-00-00 00:00:00
53	3	guidence3	6	0000-00-00 00:00:00	0000-00-00 00:00:00
54	4	guidence4	6	0000-00-00 00:00:00	0000-00-00 00:00:00
55	5	guidence5	6	0000-00-00 00:00:00	0000-00-00 00:00:00
56	6	guidence6	6	0000-00-00 00:00:00	0000-00-00 00:00:00
57	7	guidence7	6	0000-00-00 00:00:00	0000-00-00 00:00:00
58	8	guidence8	6	0000-00-00 00:00:00	0000-00-00 00:00:00
59	9	guidence9	6	0000-00-00 00:00:00	0000-00-00 00:00:00
60	10	guidence10	6	0000-00-00 00:00:00	0000-00-00 00:00:00
